Data,À vista R$,À vista US$
2022-01-03,1414.57,249.88
2022-01-04,1454.67,255.79
2022-01-05,1453.35,256.64
2022-01-06,1466.69,257.95
2022-01-07,1493.73,265.18
2022-01-10,1483.95,261.63
2022-01-11,1481.83,265.61
2022-01-12,1502.91,271.53
2022-01-13,1495.12,270.9
2022-01-14,1498.14,271.3
2022-01-17,1495.99,270.82
2022-01-18,1498.35,269.68
2022-01-19,1509.95,276.35
2022-01-20,1507.84,278.66
2022-01-21,1487.18,272.53
2022-01-24,1479.77,268.9
2022-01-25,1494.27,274.68
2022-01-26,1493.25,276.17
2022-01-27,1467.33,270.38
2022-01-28,1481.14,274.64
2022-01-31,1474.34,278.02
2022-02-01,1476.5,280.17
2022-02-02,1477.38,279.54
2022-02-03,1491.62,281.81
2022-02-04,1491.2,279.98
2022-02-07,1482.26,281.8
2022-02-08,1510.3,287.4
2022-02-09,1555.19,297.93
2022-02-10,1535.38,293.8
2022-02-11,1519.43,290.74
2022-02-14,1504.86,288.45
2022-02-15,1499.37,289.4
2022-02-16,1498.45,292.21
2022-02-17,1495.22,289.27
2022-02-18,1466.51,285.43
2022-02-21,1462.04,286.34
2022-02-22,1453.13,286.9
2022-02-23,1442.8,288.39
2022-02-24,1425.53,278.59
2022-02-25,1434.43,278.8
2022-03-02,1384.52,270.94
2022-03-03,1330.63,264.85
2022-03-04,1325.98,261.07
2022-03-07,1318.18,259.54
2022-03-08,1344.06,265.83
2022-03-09,1331.86,265.79
2022-03-10,1306.51,260.37
2022-03-11,1305.56,258.42
2022-03-14,1291.12,251.73
2022-03-15,1262.07,244.87
2022-03-16,1276.74,250.1
2022-03-17,1266.57,251.4
2022-03-18,1278.09,254.9
2022-03-21,1287.25,259.95
2022-03-22,1276.97,259.6
2022-03-23,1272.51,263.02
2022-03-24,1259.8,260.99
2022-03-25,1257.06,264.59
2022-03-28,1210.76,253.83
2022-03-29,1202.21,252.51
2022-03-30,1224.94,256.16
2022-03-31,1243.64,261.21
2022-04-01,1245.32,266.72
2022-04-04,1247.37,270.46
2022-04-05,1249.98,268.41
2022-04-06,1246.26,264.04
2022-04-07,1245.39,262.46
2022-04-08,1271.49,270.24
2022-04-11,1287.36,274.9
2022-04-12,1278.0,273.19
2022-04-13,1249.28,266.6
2022-04-14,1240.14,264.31
2022-04-18,1237.41,265.65
2022-04-19,1233.88,264.04
2022-04-20,1213.9,262.46
2022-04-22,1243.89,259.31
2022-04-25,1247.91,256.09
2022-04-26,1262.09,252.92
2022-04-27,1248.52,251.51
2022-04-28,1259.76,255.12
2022-04-29,1267.35,256.13
2022-05-02,1254.7,247.62
2022-05-03,1263.55,254.49
2022-05-04,1267.3,258.05
2022-05-05,1263.65,251.27
2022-05-06,1244.41,245.3
2022-05-09,1231.77,238.9
2022-05-10,1224.78,238.98
2022-05-11,1287.69,250.62
2022-05-12,1271.64,247.11
2022-05-13,1259.8,249.27
2022-05-16,1307.93,259.25
2022-05-17,1308.24,264.72
2022-05-18,1278.19,256.31
2022-05-19,1259.53,256.31
2022-05-20,1245.75,255.85
2022-05-23,1229.41,255.44
2022-05-24,1218.65,252.78
2022-05-25,1234.47,256.59
2022-05-26,1269.38,266.62
2022-05-27,1276.44,269.41
2022-05-30,1273.45,268.04
2022-05-31,1273.07,267.96
2022-06-01,1322.18,275.51
2022-06-02,1328.52,277.12
2022-06-03,1293.37,270.35
2022-06-06,1329.75,276.97
2022-06-07,1317.12,270.4
2022-06-08,1314.56,269.32
2022-06-09,1327.76,270.37
2022-06-10,1308.09,262.62
2022-06-13,1310.27,255.76
2022-06-14,1322.74,257.34
2022-06-15,1327.83,264.24
2022-06-17,1326.24,258.02
2022-06-20,1330.45,256.6
2022-06-21,1362.28,264.47
2022-06-22,1388.8,268.63
2022-06-23,1367.14,261.45
2022-06-24,1351.56,257.05
2022-06-27,1334.95,255.35
2022-06-28,1316.62,250.02
2022-06-29,1351.49,260.1
2022-06-30,1361.2,260.27
2022-07-01,1358.71,255.3
2022-07-04,1353.84,254.19
2022-07-05,1356.14,251.51
2022-07-06,1362.9,251.69
2022-07-07,1358.75,254.26
2022-07-08,1348.87,256.2
2022-07-11,1331.57,248.06
2022-07-12,1296.41,238.4
2022-07-13,1296.5,239.83
2022-07-14,1239.04,228.02
2022-07-15,1241.31,229.57
2022-07-18,1303.58,240.38
2022-07-19,1318.67,243.3
2022-07-20,1332.32,243.97
2022-07-21,1337.55,243.59
2022-07-22,1295.84,235.56
2022-07-25,1292.83,240.57
2022-07-26,1319.8,246.51
2022-07-27,1331.37,253.64
2022-07-28,1317.52,255.28
2022-07-29,1300.89,251.23
2022-08-01,1285.02,247.83
2022-08-02,1271.95,240.9
2022-08-03,1304.31,247.26
2022-08-04,1314.78,252.02
2022-08-05,1261.57,244.11
2022-08-08,1277.3,249.77
2022-08-09,1264.14,246.09
2022-08-10,1288.13,252.92
2022-08-11,1294.94,250.86
2022-08-12,1300.76,256.71
2022-08-15,1298.88,255.03
2022-08-16,1278.49,248.4
2022-08-17,1276.64,246.84
2022-08-18,1274.27,246.28
2022-08-19,1275.71,246.51
2022-08-22,1301.66,252.16
2022-08-23,1307.74,256.42
2022-08-24,1340.01,262.28
2022-08-25,1349.76,263.32
2022-08-26,1351.64,266.39
2022-08-29,1344.99,267.61
2022-08-30,1342.78,262.78
2022-08-31,1344.2,258.4
2022-09-01,1341.77,256.31
2022-09-02,1331.04,257.11
2022-09-05,1313.3,254.86
2022-09-06,1335.47,254.76
2022-09-08,1285.14,246.72
2022-09-09,1316.06,255.55
2022-09-12,1296.95,254.75
2022-09-13,1285.69,247.77
2022-09-14,1265.14,244.24
2022-09-15,1270.71,242.36
2022-09-16,1270.42,241.66
2022-09-19,1285.41,248.97
2022-09-20,1288.69,249.7
2022-09-21,1284.53,248.6
2022-09-22,1285.82,251.48
2022-09-23,1272.92,242.41
2022-09-26,1307.91,242.7
2022-09-27,1314.48,244.33
2022-09-28,1314.33,245.81
2022-09-29,1303.95,241.56
2022-09-30,1286.8,239.23
2022-10-03,1222.53,236.15
2022-10-04,1243.64,240.27
2022-10-05,1260.2,243.56
2022-10-06,1233.2,236.97
2022-10-07,1229.18,235.25
2022-10-10,1226.3,236.6
2022-10-11,1223.75,232.21
2022-10-13,1176.35,222.84
2022-10-14,1154.73,216.73
2022-10-17,1141.32,215.55
2022-10-18,1130.38,214.86
2022-10-19,1103.41,209.3
2022-10-20,1081.63,207.05
2022-10-21,1070.11,207.87
2022-10-24,1078.75,203.96
2022-10-25,1062.79,199.96
2022-10-26,1040.79,193.71
2022-10-27,1037.92,195.87
2022-10-28,987.53,185.84
2022-10-31,1005.33,194.3
2022-11-01,987.63,193.2
2022-11-03,958.29,187.42
2022-11-04,961.72,191.04
2022-11-07,940.31,182.41
2022-11-08,934.82,180.85
2022-11-09,930.62,179.73
2022-11-10,957.67,177.44
2022-11-11,969.33,181.49
2022-11-14,956.77,179.47
2022-11-16,943.57,175.25
2022-11-17,943.15,173.66
2022-11-18,932.71,173.82
2022-11-21,949.51,178.78
2022-11-22,970.27,180.31
2022-11-23,975.17,181.53
2022-11-24,972.75,183.12
2022-11-25,984.78,182.03
2022-11-28,972.21,181.18
2022-11-29,999.97,188.99
2022-11-30,1003.01,192.52
2022-12-01,986.5,189.53
2022-12-02,982.38,189.36
2022-12-05,981.02,185.8
2022-12-06,989.09,187.72
2022-12-07,984.85,189.03
2022-12-08,973.49,186.78
2022-12-09,979.85,186.99
2022-12-12,1016.22,190.84
2022-12-13,1023.87,192.6
2022-12-14,1028.07,193.21
2022-12-15,1045.13,196.38
2022-12-16,1020.37,192.6
2022-12-19,1016.75,191.55
2022-12-20,1027.61,197.31
2022-12-21,1023.12,196.87
2022-12-22,1022.97,197.6
2022-12-23,1024.86,198.46
2022-12-26,1027.31,197.26
2022-12-27,1023.64,193.73
2022-12-28,1044.61,198.86
2022-12-29,1037.9,196.57
2023-01-02,1031.2,192.39
2023-01-03,1034.46,189.88
2023-01-04,1021.5,187.29
2023-01-05,1020.4,190.3
2023-01-06,1023.47,195.21
2023-01-09,1002.85,190.84
2023-01-10,968.37,186.15
2023-01-11,944.56,182.14
2023-01-12,953.0,187.08
2023-01-13,945.34,185.58
2023-01-16,955.07,185.41
2023-01-17,951.65,186.31
2023-01-18,979.1,189.79
2023-01-19,1000.74,193.38
2023-01-20,1002.74,192.72
2023-01-23,1023.39,196.96
2023-01-24,1030.2,200.16
2023-01-25,1035.11,203.92
2023-01-26,1048.76,206.77
2023-01-27,1061.83,207.75
2023-01-30,1067.01,208.73
2023-01-31,1103.18,217.25
2023-02-01,1104.47,216.99
2023-02-02,1096.14,217.66
2023-02-03,1079.9,210.14
2023-02-06,1114.33,215.29
2023-02-07,1123.64,216.13
2023-02-08,1119.52,215.75
