"Data","À vista R$","À vista US$"
"03/01/2022","1.414,57","249,88"
"04/01/2022","1.454,67","255,79"
"05/01/2022","1.453,35","256,64"
"06/01/2022","1.466,69","257,95"
"07/01/2022","1.493,73","265,18"
"10/01/2022","1.483,95","261,63"
"11/01/2022","1.481,83","265,61"
"12/01/2022","1.502,91","271,53"
"13/01/2022","1.495,12","270,90"
"14/01/2022","1.498,14","271,30"
"17/01/2022","1.495,99","270,82"
"18/01/2022","1.498,35","269,68"
"19/01/2022","1.509,95","276,35"
"20/01/2022","1.507,84","278,66"
"21/01/2022","1.487,18","272,53"
"24/01/2022","1.479,77","268,90"
"25/01/2022","1.494,27","274,68"
"26/01/2022","1.493,25","276,17"
"27/01/2022","1.467,33","270,38"
"28/01/2022","1.481,14","274,64"
"31/01/2022","1.474,34","278,02"
"01/02/2022","1.476,50","280,17"
"02/02/2022","1.477,38","279,54"
"03/02/2022","1.491,62","281,81"
"04/02/2022","1.491,20","279,98"
"07/02/2022","1.482,26","281,80"
"08/02/2022","1.510,30","287,40"
"09/02/2022","1.555,19","297,93"
"10/02/2022","1.535,38","293,80"
"11/02/2022","1.519,43","290,74"
"14/02/2022","1.504,86","288,45"
"15/02/2022","1.499,37","289,40"
"16/02/2022","1.498,45","292,21"
"17/02/2022","1.495,22","289,27"
"18/02/2022","1.466,51","285,43"
"21/02/2022","1.462,04","286,34"
"22/02/2022","1.453,13","286,90"
"23/02/2022","1.442,80","288,39"
"24/02/2022","1.425,53","278,59"
"25/02/2022","1.434,43","278,80"
"02/03/2022","1.384,52","270,94"
"03/03/2022","1.330,63","264,85"
"04/03/2022","1.325,98","261,07"
"07/03/2022","1.318,18","259,54"
"08/03/2022","1.344,06","265,83"
"09/03/2022","1.331,86","265,79"
"10/03/2022","1.306,51","260,37"
"11/03/2022","1.305,56","258,42"
"14/03/2022","1.291,12","251,73"
"15/03/2022","1.262,07","244,87"
"16/03/2022","1.276,74","250,10"
"17/03/2022","1.266,57","251,40"
"18/03/2022","1.278,09","254,90"
"21/03/2022","1.287,25","259,95"
"22/03/2022","1.276,97","259,60"
"23/03/2022","1.272,51","263,02"
"24/03/2022","1.259,80","260,99"
"25/03/2022","1.257,06","264,59"
"28/03/2022","1.210,76","253,83"
"29/03/2022","1.202,21","252,51"
"30/03/2022","1.224,94","256,16"
"31/03/2022","1.243,64","261,21"
"01/04/2022","1.245,32","266,72"
"04/04/2022","1.247,37","270,46"
"05/04/2022","1.249,98","268,41"
"06/04/2022","1.246,26","264,04"
"07/04/2022","1.245,39","262,46"
"08/04/2022","1.271,49","270,24"
"11/04/2022","1.287,36","274,90"
